Mol. Wt.,CRC Hvap /(kJ mol-1)
142.2860000000001,38.14
58.08000000000002,27.35
86.17799999999993,27.79
86.17799999999993,28.06
118.17599999999992,57.3
116.15999999999993,35.36
102.17699999999992,50.2
102.17699999999992,44.46
102.17699999999992,39.59
102.17699999999992,44.2
100.16099999999992,34.49
100.16099999999994,33.84
102.17699999999992,32.02
118.24499999999992,37.41
69.10699999999997,32.39
90.19099999999996,31.01
90.19099999999996,28.45
88.10599999999997,32.24
74.12299999999995,41.82
74.12299999999995,39.07
74.12299999999996,26.75
90.19099999999996,32.08
93.12899999999996,36.17
93.12899999999996,37.35
93.12899999999996,37.51
152.14900000000006,46.7
99.15799999999996,37.58
98.16999999999996,33.9
98.16999999999996,34.24
87.12199999999996,37.1
128.17399999999995,43.2
72.15099999999997,22.74
75.06699999999998,38.0
61.04000000000001,33.99
89.09399999999997,38.5
89.09399999999997,36.8
268.529,56.93
128.2589999999999,37.18
254.50200000000032,55.23
282.4679999999995,67.4
114.2319999999999,34.41
144.21400000000014,58.5
130.23099999999994,44.4
112.21599999999992,34.07
110.19999999999992,35.83
110.19999999999992,37.26
110.19999999999992,36.94
110.19999999999992,36.0
58.08000000000001,28.67
44.05300000000001,25.54
202.295,36.9
212.42100000000028,50.08
168.064,32.15
182.091,34.75
72.15099999999997,25.79
104.14899999999994,60.7
100.11699999999996,34.3
83.13399999999996,36.09
104.21799999999992,34.88
102.13299999999994,44.1
88.14999999999993,44.36
88.14999999999993,41.4
86.13399999999994,33.44
86.13399999999996,33.45
70.13499999999998,25.2
81.11799999999997,37.09
130.18699999999995,38.42
87.16599999999994,34.01
238.024,22.9
200.028,23.2
438.0519999999999,33.38
94.11299999999996,45.69
58.08000000000002,28.31
44.09700000000002,19.04
74.12699999999995,40.85
76.09499999999997,52.4
76.09499999999996,57.9
55.08000000000001,31.81
76.16399999999996,29.54
76.16399999999996,27.91
60.096000000000025,41.44
60.096000000000025,39.85
42.08100000000002,18.42
104.14899999999994,41.4
102.13299999999995,33.92
59.11200000000002,29.55
112.21599999999992,34.7
116.15999999999994,35.54
79.10199999999998,35.09
80.08999999999997,43.09
67.09099999999998,38.75
71.12299999999998,33.01
129.16199999999998,49.7
68.11899999999999,26.76
104.15199999999994,38.7
80.08999999999999,48.5
345.65399999999994,48.7
167.85000000000002,37.64
165.834,34.68
153.823,29.82
198.39400000000023,48.16
72.10699999999997,29.81
102.13299999999995,45.2
132.206,43.9
86.13399999999996,31.17
88.17499999999995,34.66
128.2589999999999,32.51
196.031,40.74
102.20199999999994,35.96
74.14799999999997,32.32
84.14299999999997,31.48
92.14099999999996,33.18
252.731,39.66
185.35500000000025,46.9
133.40500000000003,29.86
133.40500000000003,34.82
131.389,31.4
137.368,25.1
119.378,29.24
147.43200000000004,37.1
187.375,26.85
187.375,27.04
184.36700000000025,46.2
101.19299999999993,31.01
150.17400000000012,71.4
114.022,33.3
84.03999999999999,18.99
146.11100000000005,32.63
59.112000000000016,22.94
100.20499999999991,28.9
128.2589999999999,33.65
128.2589999999999,34.43
156.31300000000022,38.22
114.2319999999999,31.94
114.2319999999999,30.79
114.2319999999999,32.12
114.2319999999999,32.36
128.21499999999992,35.64
121.18299999999994,39.95
121.18299999999994,39.87
671.0850000000004,46.4
156.31300000000022,41.91
86.08999999999997,34.6
106.16799999999994,36.24
106.16799999999994,35.66
106.16799999999994,35.67
122.16699999999992,46.9
