Mol. wt.,CRC Vc /(cm3 mol-1)
506.9879999999989,2711.0
84.16199999999994,381.0
84.16199999999994,347.0
84.16199999999994,353.0
84.16199999999994,352.0
98.14499999999994,359.0
144.21400000000014,526.0
101.19299999999993,402.0
162.27600000000015,620.0
206.2850000000001,658.0
118.17899999999992,385.0
72.10699999999996,283.0
58.12400000000002,256.0
56.10800000000002,240.0
116.15999999999993,369.0
134.222,493.0
144.21400000000014,524.0
140.27000000000007,550.0
144.21400000000014,530.0
158.24100000000016,581.0
130.18699999999995,462.0
72.15099999999997,313.0
130.18699999999995,464.0
158.24100000000016,595.0
144.21400000000014,523.0
102.13299999999995,343.0
59.11200000000002,231.0
120.19499999999992,423.0
126.2429999999999,484.0
134.222,495.0
74.12299999999996,287.0
129.16199999999998,380.0
136.23800000000003,498.0
156.26900000000018,539.0
98.14499999999994,353.0
48.110000000000014,148.0
32.041999999999994,117.0
76.09499999999996,263.0
118.13199999999996,368.0
102.17699999999992,372.0
90.12199999999996,304.0
72.10699999999997,257.0
74.07899999999998,227.0
31.058,139.0
107.15599999999996,377.0
107.15599999999996,346.0
107.15599999999996,334.0
107.15599999999992,347.0
122.16699999999992,397.0
122.16699999999992,449.0
122.16699999999992,396.0
122.16699999999992,399.0
136.15000000000006,408.0
102.13299999999994,341.0
102.13299999999994,355.0
88.14999999999993,342.0
88.14999999999993,335.0
88.14999999999993,326.0
86.13399999999994,321.0
70.13499999999998,305.0
70.13499999999998,299.0
88.14999999999993,335.0
98.18899999999992,368.0
84.16199999999994,322.0
98.14499999999994,328.0
135.21000000000004,466.0
214.34900000000025,842.0
82.10199999999996,252.0
114.2319999999999,487.0
114.2319999999999,463.0
114.2319999999999,480.0
144.21400000000014,521.0
130.23099999999994,505.0
130.23099999999994,493.0
128.21499999999992,484.0
112.21599999999992,466.0
112.21599999999992,465.0
100.20499999999991,420.0
100.20499999999991,405.0
114.18799999999992,434.0
98.18899999999992,410.0
102.13299999999994,341.0
100.11699999999996,320.0
142.20100000000008,479.0
142.20100000000008,464.0
128.2589999999999,547.0
150.04600000000002,301.0
86.17799999999993,371.0
86.17799999999993,368.7
116.15999999999993,398.0
102.17699999999992,410.0
102.17699999999992,406.0
102.17699999999992,410.0
102.17699999999992,389.0
102.17699999999992,380.0
102.17699999999992,376.0
100.16099999999992,378.0
84.16199999999994,348.0
84.16199999999994,350.0
102.17699999999992,395.0
90.12199999999996,300.0
88.10599999999995,296.0
74.12299999999995,274.0
74.12299999999995,283.0
74.12299999999996,281.0
