Property,Model,Kernel,Flag,LML
Pc,1,Matern32,False, -43.11941859888998
Pc,1,Matern52,True, -40.14783616049772
Pc,1,Matern52,False, -42.30630985158609
Pc,1,RBF,True, -40.118454336905074
Pc,1,RBF,False, -43.03750200703087
Pc,1,RQ,True, -39.82841738014531
Pc,1,RQ,False, -42.325851192388996
Pc,2,Matern12,True, -96.24766746348507
Pc,2,Matern12,False, -96.24766761669434
Pc,2,Matern32,True, -97.29937855028618
Pc,2,Matern32,False, -97.29937855028584
Pc,2,Matern52,True, -97.22633912511083
Pc,2,Matern52,False, -97.2263391251106
Pc,2,RBF,True, -97.10408307287025
Pc,2,RBF,False, -97.10408307301657
Pc,2,RQ,True, -97.10414314136437
Pc,2,RQ,False, -97.10414313002423
Pc,3,Matern12,True, -44.90201975721777
Pc,3,Matern12,False, -46.634398432141325
Pc,3,Matern32,True, -39.35022302824041
Pc,3,Matern32,False, -39.361556377695706
Pc,3,Matern52,True, -37.804669934538424
Pc,3,Matern52,False, -37.81927751565411
Pc,3,RBF,True, -36.658684620674876
Pc,3,RBF,False, -36.706037194453984
Pc,3,RQ,True, -36.65890757252248
Pc,3,RQ,False, -36.70622935825952
Pc,4,Matern12,True, -41.04189497332641
Pc,4,Matern12,False, -42.27082398521361
Pc,4,Matern32,True, -37.454732670616295
Pc,4,Matern32,False, -37.77883719130557
Pc,4,Matern52,True, -36.30939012548993
Pc,4,Matern52,False, -36.360397339648216
Pc,4,RBF,True, -34.6890406240301
Pc,4,RBF,False, -34.85101377146157
Pc,4,RQ,True, -34.689589007661084
Pc,4,RQ,False, -34.851412164534395
Tb,1,Matern12,True, -838.0236738869371
Tb,1,Matern12,False, -838.7899481392851
Tb,1,Matern32,True, -907.8098147531291
Tb,1,Matern32,False, -907.8099468508581
Tb,1,Matern52,True, -917.0358408348065
Tb,1,Matern52,False, -917.0721673950306
Tb,1,RBF,True, -925.5024839930643
Tb,1,RBF,False, -928.8270435750383
Tb,1,RQ,True, -913.5763625561813
Tb,1,RQ,False, -913.6092792431778
Tb,2,Matern12,True, -1890.0222124044312
Tb,2,Matern12,False, -1890.0220743443238
Tb,2,Matern32,True, -2141.3435264612717
Tb,2,Matern32,False, -2141.3435264618006
Tb,2,Matern52,True, -2143.296284231028
Tb,2,Matern52,False, -2143.296284232583
Tb,2,RBF,True, -2136.0953820783066
Tb,2,RBF,False, -2136.0953820779264
Tb,2,RQ,True, -1711.786731509364
Tb,2,RQ,False, -1711.7870263744808
Tb,3,Matern12,True, -838.4829703731334
Tb,3,Matern12,False, -839.2363366150134
Tb,3,Matern32,True, -910.0636604455185
Tb,3,Matern32,False, -910.0763053559326
Tb,3,Matern52,True, -920.4770252096014
Tb,3,Matern52,False, -920.6162445049854
Tb,3,RBF,True, -928.5927415354872
Tb,3,RBF,False, -934.2302879538584
Tb,3,RQ,True, -913.7751562215158
Tb,3,RQ,False, -913.8284936198761
Tb,4,Matern12,True, -827.0387191973537
Tb,4,Matern12,False, -827.5920918909346
Tb,4,Matern32,True, -896.6444383285561
Tb,4,Matern32,False, -896.6574242267689
Tb,4,Matern52,True, -901.2331470094241
Tb,4,Matern52,False, -901.3275536923611
Tb,4,RBF,True, -909.0908217273127
Tb,4,RBF,False, -909.2509107117912
Tb,4,RQ,True, -903.7036276348367
Tb,4,RQ,False, -903.7671972835719
Tc,1,Matern12,True, -13.98571181776424
Tc,1,Matern12,False, -14.545534657086705
Tc,1,Matern32,True, -26.921074553441372
Tc,1,Matern32,False, -27.073768114683276
Tc,1,Matern52,True, -31.436526222209977
Tc,1,Matern52,False, -31.755828554163486
Tc,1,RBF,True, -36.74641788251324
Tc,1,RBF,False, -37.65536902793133
Tc,1,RQ,True, -31.423762627220867
Tc,1,RQ,False, -31.604935027350734
Tc,2,Matern12,True, -123.17362407928601
Tc,2,Matern12,False, -123.17362405271899
Tc,2,Matern32,True, -137.10007414383676
Tc,2,Matern32,False, -137.10007414387485
Tc,2,Matern52,True, -140.80323796792788
Tc,2,Matern52,False, -140.80323796792516
Tc,2,RBF,True, -112.42135349443618
Tc,2,RBF,False, -116.58309367899949
Tc,2,RQ,True, -136.5013647893278
Tc,2,RQ,False, -136.50136479402806
Tc,3,Matern12,True, -7.852810385879707
Tc,3,Matern12,False, -9.549419813152213
Tc,3,Matern32,True, -22.32833156234642
Tc,3,Matern32,False, -22.713043073915742
Tc,3,Matern52,True, -24.945824867475835
