Mol. wt.,JR Pc /Bars,CRC Pc /Bars
170.92,37.82325646,32.9
152.93000000000004,39.45607434155703,37.6
446.67199999999934,7.802503042976185,9.4
118.17599999999992,29.92592734463655,21.4
73.13899999999995,39.60519952901496,37.5
106.12099999999994,48.56195898942564,48.0
134.175,29.37698753681304,30.0
204.26600000000016,20.530301801595574,21.5
176.21200000000013,24.62917695447912,25.0
148.20200000000014,29.795389103945386,30.5
146.14200000000008,31.42029801524261,21.4
174.1960000000001,25.610975429854605,22.6
114.09399999999998,40.673157017909205,42.8
114.09399999999998,40.673157017909205,42.8
64.034,47.36622475557843,44.7
150.04600000000002,33.76278470046164,34.300000000000004
334.4559999999995,12.646471432126893,13.0
129.24699999999993,26.110690003705106,32.0
162.27600000000015,24.076405026768143,23.0
90.12199999999994,37.36228262623967,39.1
45.085000000000015,51.23977190103139,53.4
86.17799999999993,31.739734179726245,31.0
100.16099999999992,34.11870032317232,36.7
84.16199999999994,33.29682891,31.8
112.21599999999992,30.389631543951296,28.8
94.20399999999998,52.81571119524065,51.0
160.1690000000001,28.293345405160707,28.0
188.22300000000013,23.292735647948,24.0
114.2319999999999,25.76721894405937,26.3
114.2319999999999,25.76721894405937,24.9
114.2319999999999,25.76721894405937,26.9
132.115,35.09579749,35.0
202.2500000000001,21.275581759507627,23.0
72.10699999999997,48.49434749885553,44.0
100.20499999999991,28.47480947504981,29.2
100.20499999999991,28.566196876514905,29.4
98.18899999999992,29.89321247706816,29.1
107.15599999999996,40.41499735887993,40.3
107.15599999999996,40.41499735887993,41.1
107.15599999999996,40.41499735887993,40.6
157.2160000000001,33.52859268090939,32.7
146.14200000000008,31.42029801524261,35.0
418.61799999999937,8.711906318432021,10.0
88.10599999999995,52.35810430153243,52.0
168.2390000000001,30.72747921593305,30.2
102.17699999999994,30.4903984210852,29.2
474.7259999999993,7.028402618389224,8.9
340.5919999999992,9.520109374632584,11.1
200.37000000000023,19.64815653,20.0
202.40700000000024,18.805348842982102,18.1
186.33900000000023,19.270481245582243,20.2
282.5559999999996,10.155331894525908,10.8
298.55499999999915,10.778050198984364,11.0
30.07,50.299280720285694,48.7
62.06800000000002,66.53023533,81.0
62.137000000000015,55.19628904309506,55.3
61.08400000000002,62.88829592213423,80.0
122.16699999999992,35.77070122021015,34.5
132.159,30.659460467078475,30.7
116.20399999999992,28.05407928756104,28.3
88.10599999999995,39.20939739469237,38.8
45.085000000000015,54.62662971721431,56.0
106.16799999999994,36.5093418278402,36.1
150.17700000000008,32.80284571247124,30.1
116.15999999999993,31.244912937612344,32.0
112.21599999999992,31.526238815672688,32.7
98.18899999999992,34.19855682090214,34.0
130.18699999999995,28.719489849957903,28.8
28.053999999999995,52.66251124344616,50.4
146.18600000000012,27.642605437189907,27.0
158.24100000000016,23.18072457845272,23.0
114.2319999999999,25.55920995459661,26.1
144.21400000000014,25.48185551736957,26.0
144.21400000000014,28.024384577508577,27.5
130.23099999999994,28.113610473556896,30.0
172.26800000000017,21.33458496231779,20.2
60.09600000000002,43.11220079593744,43.9
114.2319999999999,25.76721894405937,27.0
114.2319999999999,25.84587741455417,27.7
116.15999999999993,31.526238815672706,31.0
76.16399999999996,45.10353742533673,46.2
186.2950000000002,19.423657354253127,20.0
100.20499999999991,28.23324272344636,29.0
130.18699999999995,28.14344715012418,28.0
122.16699999999992,44.09101090106153,37.0
122.16699999999992,44.09101090106153,38.0
122.16699999999992,44.09101090106153,31.0
102.13299999999995,34.88880414786014,33.7
88.14999999999995,33.99943900925634,33.7
