Mol. wt.,CRC Tm /K
181.02900000000008,313.15
173.00900000000004,278.75
249.10700000000008,291.85
199.04700000000005,280.65
199.04700000000005,323.65
301.1389999999998,411.15
122.99299999999997,184.25
152.97500000000002,335.65
120.97699999999998,160.14999999999998
120.97699999999998,153.84999999999997
215.0900000000001,283.85
157.99800000000005,233.05
208.05800000000005,286.45
277.2899999999996,278.85
205.076,367.65
171.03700000000006,235.05
198.274,267.54999999999995
148.909,98.76999999999998
225.007,274.15
323.23299999999966,426.15
190.984,583.15
183.04800000000003,229.15
183.04800000000003,280.15
183.04800000000003,278.15
54.09200000000001,136.95
130.18999999999997,275.45
224.26000000000013,411.65
87.12199999999996,389.15
88.15399999999995,295.04999999999995
90.12199999999994,196.15
174.1960000000001,285.15
154.98000000000005,289.85
122.25799999999995,219.25
234.16000000000005,509.65
90.19099999999996,157.48999999999998
74.12299999999995,184.55
74.12299999999995,184.71
106.55199999999996,184.15
56.10800000000002,87.81999999999996
56.10800000000002,167.63
78.074,369.15
67.09099999999998,221.65
67.09099999999998,186.15
86.08999999999996,344.45
132.206,230.05
132.206,203.15
223.27200000000013,427.15
295.3389999999996,332.45
116.15999999999993,196.15
116.15999999999993,279.15
128.17099999999994,209.55
73.13899999999995,206.23
193.24600000000007,330.15
238.3810000000001,381.15
149.23700000000014,258.75
134.222,185.34
134.222,215.31
166.2200000000001,401.15
178.2310000000001,400.45
178.2310000000001,437.15
117.14799999999994,326.15
360.4469999999995,253.15
140.27000000000007,231.95
156.26900000000018,355.15
156.26900000000018,356.15
126.2429999999999,165.2
162.27600000000015,255.15
178.27500000000015,295.45
178.27500000000015,344.35
240.2150000000001,399.15
366.7179999999991,293.95
102.17699999999992,179.14999999999998
160.25700000000018,316.15
118.24499999999992,178.04999999999998
186.2950000000002,205.15
172.26800000000017,223.15
90.12199999999994,279.15
194.2300000000001,341.65
116.20399999999992,184.85
180.24700000000013,338.15
148.24900000000014,231.79
148.24900000000014,220.66
164.24800000000013,319.65
164.24800000000013,300.65
104.21799999999992,175.33999999999995
214.34900000000025,235.15
338.5759999999992,246.75
158.24100000000016,189.38
150.22100000000012,291.15
150.22100000000012,295.15
150.22100000000012,373.15
176.25900000000013,290.85
150.22100000000012,253.75
130.18699999999995,183.65
179.2190000000001,370.15
311.5919999999997,301.65
116.16399999999994,369.45
160.26000000000013,236.25
100.16099999999992,181.15
54.09200000000001,147.45
114.05599999999998,439.15
84.07399999999997,351.15
70.09099999999997,209.65
86.08999999999997,229.79
548.6290000000017,541.15
532.6300000000008,494.15
152.23700000000014,450.85
152.23700000000014,453.15
200.2340000000001,460.15
310.4369999999995,350.15
340.4629999999995,423.15
305.4179999999995,338.15
201.22500000000008,415.85
221.2560000000001,426.35
168.19900000000007,498.15
90.08599999999996,427.15
215.59200000000004,305.95
82.461,125.14999999999998
80.046,237.15
235.30800000000008,369.15
179.1970000000001,479.15
260.33400000000006,365.15
536.8880000000007,460.65
536.8880000000007,456.15
536.8880000000007,450.15
568.8860000000026,469.15
552.8870000000016,441.15
478.71799999999934,394.15
150.22100000000012,288.15
504.4379999999997,481.15
223.27200000000013,367.15
304.2169999999996,340.04999999999995
208.984,556.65
269.1959999999998,344.15
293.54799999999983,370.35
409.7819999999998,374.25
268.1869999999997,328.15
78.49799999999999,256.85
211.64800000000008,405.15
154.59600000000003,329.65
112.943,251.45
213.6670000000001,394.15
127.57399999999996,262.85
127.57399999999996,343.54999999999995
142.58500000000006,255.15
242.66100000000003,483.05
112.55899999999995,227.95
170.59500000000006,367.35
170.59500000000006,377.95
151.59600000000006,302.15
142.58900000000006,349.15
142.58900000000006,337.15
