Mol. wt.,JR Tb /K,CRC Tb /K
162.14400000000003,625.19,585.65
122.12299999999996,531.95,523.3499999999999
103.12399999999997,488.52,464.15
212.25200000000007,704.6099999999999,587.15
146.14500000000004,501.7,574.8499999999999
179.2220000000001,620.36,625.15
136.17900000000003,534.3399999999999,479.15
151.19000000000003,567.03,633.15
119.12299999999996,482.64,458.45
211.22000000000008,732.2,611.15
185.02,506.47,493.15
124.11399999999996,439.58,427.65
162.18800000000007,509.98,501.15
107.15599999999996,458.97,458.15
183.2540000000001,627.9100000000001,573.15
212.24800000000008,631.5,594.45
312.36499999999967,809.0999999999999,643.15
211.3080000000001,608.5999999999999,561.15
208.21300000000008,593.96,493.15
182.2660000000001,578.26,554.15
192.25800000000007,558.6199999999999,518.15
178.2310000000001,535.74,501.15
184.23800000000008,631.02,585.15
184.23800000000008,572.8199999999999,558.15
164.2040000000001,513.3,497.15
169.22700000000006,581.22,561.15
149.21800000000005,580.1800000000001,505.15
96.17299999999992,377.51,386.95
94.15699999999994,376.67,368.84
138.25400000000005,458.96,463.61
152.23700000000014,526.78,505.65
254.33200000000008,758.48,725.15
154.21200000000007,527.52,528.3499999999999
186.2100000000001,688.76,593.15
156.18800000000007,589.16,546.15
156.18800000000007,589.16,556.15
156.18800000000005,589.16,578.15
103.16899999999994,486.35,479.65
263.95999999999987,546.6199999999999,518.15
366.4539999999996,850.1399999999999,682.15
173.0390000000001,433.7,489.15
159.08100000000007,434.76,471.15
175.05800000000008,489.16,524.65
114.959,342.64,377.15
118.029,263.98,278.85
310.3459999999996,758.6199999999999,618.15
242.4470000000003,587.22,552.15
390.56399999999945,895.94,656.15
161.24500000000018,579.44,552.15
119.16399999999992,510.8,518.15
158.2440000000001,498.94,504.15
214.33300000000008,652.02,573.15
225.3350000000001,668.3299999999999,569.65
214.108,403.46,388.15
166.27000000000004,524.8,533.15
196.29000000000016,541.27,496.65
238.3710000000002,609.47,530.65
136.97600000000003,388.27,411.15
104.93399999999998,301.64,277.85
172.02500000000003,507.23,523.15
187.03600000000003,480.0,489.15
187.03600000000003,480.0,488.15
196.04700000000005,577.12,528.15
201.01900000000003,603.0899999999999,568.15
