Mol. wt.,JR Tm /K,CRC Tm /K
259.22099999999995,642.76,483.15
260.2049999999999,612.33,416.15
276.2729999999998,624.5,433.65
120.06399999999998,399.52,311.35
106.037,388.25,258.15
218.168,573.84,421.15
218.16800000000003,573.84,490.15
218.16800000000003,573.84,445.15
234.16700000000003,685.5600000000001,411.15
184.10700000000003,595.26,418.25
184.107,595.26,387.15
184.10700000000003,595.26,378.75
184.10700000000003,595.26,335.54999999999995
184.10700000000003,595.26,407.55
226.14400000000003,560.93,345.65
275.2199999999998,754.48,468.65
259.22099999999995,642.76,432.15
198.13800000000003,631.98,474.75
134.0910000000001,395.79,231.15
134.0910000000001,410.79,251.75
134.0910000000001,413.21,325.15
166.08900000000006,534.85,415.15
292.24999999999983,738.1800000000001,582.15
292.24999999999983,738.1800000000001,572.15
240.2150000000001,637.86,316.45
522.0029999999995,548.14,346.04999999999995
241.4630000000003,322.74,293.15
263.2969999999999,509.89,378.65
239.3180000000001,390.3200000000001,406.15
211.2640000000001,382.78,374.55
169.2270000000001,330.5,326.35
260.34,489.72,423.15
336.4379999999997,596.28,520.15
231.68200000000007,401.43000000000006,357.65
242.28200000000007,549.6800000000001,443.15
240.26200000000009,505.56,527.15
212.2960000000001,405.7000000000001,347.15
184.2420000000001,393.5700000000001,323.65
184.2420000000001,383.16,401.85
238.2900000000001,624.73,456.15
221.25900000000007,451.46,344.15
267.37199999999984,521.11,370.65
220.2750000000001,529.9200000000001,473.15
212.2520000000001,454.77,462.15
212.25200000000007,444.36,509.15
210.3650000000002,461.09,340.25
255.3910000000002,589.53,378.15
101.19299999999993,210.04,210.15
185.22300000000013,448.61,315.65
146.19300000000007,459.61,346.15
268.2759999999997,870.6800000000001,604.15
296.33199999999994,808.72,493.15
296.4139999999996,733.8199999999999,477.65
401.4219999999997,550.8800000000001,338.15
233.09800000000007,437.55,430.15
337.5919999999992,465.81,367.15
199.33800000000025,358.19,374.15
200.37000000000023,391.52,341.15
181.3230000000002,289.99,277.15
185.35500000000025,308.26,300.95
245.40700000000027,458.66,342.65
261.4530000000001,414.82,314.65
295.4509999999996,530.23,329.15
543.5250000000015,1310.4900000000002,503.15
