SMILES,BoilingPoint,MeltingPoint,CriticalTemp,CriticalPress,CriticalVolume,Molecular Weight,EnthalpyVap,Log P
CN(C)C1=CC=CC=C1,421.76,238.81,628.736327042114,36.42126142125232,393.5,121.18299999999992,37.721,1.7526
CC1=CC2=C(C=C1)N=C(C=C2)C,560.5999999999999,369.43,805.4823490813657,33.52859268090939,514.5,157.2160000000001,51.53,2.8516400000000006
C(CCCCCCN)CCCCCN,619.22,391.52,800.1128391428194,19.6481565313616,765.5,200.37000000000023,63.588,2.8048
CCN,317.89,195.56,499.8182343358382,54.62662971721431,176.5,45.085000000000015,30.687,-0.0349999999999998
CCCCCC(C)N,431.85,236.91,614.6786281215651,30.024394820791898,450.5,115.21999999999991,41.429,1.9139
C(CCCN)CCN,481.94,323.9,674.9047033550581,35.430839002267554,429.5,116.20799999999991,50.232,0.4642000000000001
CCCCCC#N,438.96,222.37,627.9648561133465,30.222793365855072,397.5,97.16099999999994,39.428,2.09028
CNC1=CC=CC=C1,436.61,247.73,651.9902142781123,41.83897350588842,354.5,107.15599999999992,39.888000000000005,1.7283
CC1=CC=CC=C1N(C)C,449.62,262.6,655.5807679822063,31.991564464282067,449.5,135.21000000000004,40.609,2.06102
CC1=NC2=CC=CC=C2C=C1,532.74,345.64,781.6830677930685,38.29281442995785,458.5,143.18900000000005,48.642,2.5432200000000007
CC1=C2C(=CC=C1)C=CC=N2,532.74,345.64,781.6830677930685,38.29281442995785,458.5,143.18900000000005,48.642,2.54322
C(CCCCN)CCCN,527.7,346.44,716.120692378652,28.535685586967627,541.5,144.26200000000014,54.684,1.2444000000000002
CCCCCCCC#N,484.72,244.91,669.9311019425418,24.72725222613269,509.5,125.21499999999992,43.88,2.870480000000001
CCCCCCCCN,455.17,263.18,632.5433806816498,26.874199988659083,512.5,129.24699999999993,44.043000000000006,2.3056
C1=COC=N1,367.16,238.34,588.814427858678,66.20582995297399,187.5,69.06299999999999,34.142,0.6745999999999999
C1CNCCN1,412.44,356.52,641.0977812458226,57.91742828084855,267.5,86.13799999999995,38.752,-0.8208
C1CCNCC1,386.77,262.76,603.5491693533033,48.56195898942564,286.5,85.14999999999995,34.22,0.7599
C1=CN=CC=N1,420.22,291.82000000000005,667.4640698414377,63.59235772481806,249.5,80.08999999999997,38.532,0.4765999999999999
C(#N)C(F)(F)F,342.02,181.48,516.3066056329319,41.56965348783941,216.5,95.023,26.777,1.07228
CC(=O)N,371.76,245.49,570.2811018267772,60.09254251547383,182.5,59.06800000000001,37.433,-0.5084
CC(=O)NC1=CC=CC=C1,513.3599999999999,308.93,736.1404841001267,40.10843717073479,416.5,135.16600000000005,48.86,1.6449999999999998
CC(C)(C#N)O,482.15,263.07,677.2768075473598,43.51125375067007,293.5,85.10599999999997,50.35900000000001,0.2808799999999999
CC(=O)NC(=O)C,449.03,287.36,645.9517406164623,46.720915879458175,306.5,101.10499999999996,44.426,-0.3309999999999999
CC(=O)N(C)C(=O)C,434.18,278.44,623.6525210052168,40.363660435055685,345.5,115.13199999999996,42.259,0.0111999999999998
C1=CC=C2C(=C1)C=C3C=CC=CC3=N2,620.36,412.15,887.2968134135776,36.33349937742549,548.5,179.2220000000001,56.96,3.3880000000000017
C=CC(=O)N,391.3200000000001,255.0,592.9178499227831,55.36068594104307,219.5,71.07899999999998,38.989,-0.3423
C=CCNC1=CC=CC=C1,479.05,268.51,693.2053245519897,34.76548593805624,447.5,133.19400000000002,43.67,2.2845000000000004
CCN(CC)CC=C,368.88,199.36,534.830378968674,29.218407596785976,426.5,113.20399999999992,32.54900000000001,1.5142
CN(C)CC=C,323.12,176.82,488.5883944591004,36.377340699987336,314.5,85.14999999999993,28.097,0.734
C=CCNCC=C,380.41,206.52,557.570081998023,34.72452513343767,368.5,97.16099999999994,34.04600000000001,0.948
C1=CC=C(C(=C1)CN)N,536.48,374.11,775.5141861577223,46.91311690748732,377.5,122.17099999999996,55.396,0.7275
C1=CC=C(C(=C1)CO)N,556.13,351.6700000000001,767.5927325463473,49.24592182209911,367.5,123.15499999999994,61.434,0.7610999999999999
C1=CC=C(C(=C1)N)S,503.93,316.04,761.4460636352713,54.30506085153592,346.5,125.19599999999996,49.266000000000005,1.5575
C1=CC=C(C(=C1)C#N)N,566.03,355.84000000000003,812.9596596183304,42.05631845717237,374.5,118.13899999999995,55.233,1.14048
C1=CC(=CC(=C1)N)C#N,566.03,355.84000000000003,812.9596596183304,42.05631845717237,374.5,118.13899999999995,55.233,1.14048
C1=CC=C(C=C1)C2=CC=C(C=C2)N,605.03,373.62,864.1014361939148,36.0288172892206,520.5,169.2270000000001,58.161,2.9358000000000004
CCC(CO)N,455.39,263.92,635.0646411406447,47.89214688521451,301.5,89.13799999999995,51.43000000000001,-0.2839999999999999
C(CCO)CN,455.83,278.92,631.6636965553175,47.36622475557844,307.5,89.13799999999996,51.818,-0.2823999999999999
CC1(CC(CC(C1)(C)CN)O)C,603.8,393.24,813.024594761504,30.864197530864192,570.5,171.2840000000002,62.68299999999999,1.5224
C(CCN)CCO,478.71,290.19,653.138384443903,41.67706856836353,363.5,103.16499999999994,54.044,0.1077
C1=CC=C(C(=C1)N)O,516.71,378.78,762.3043191840225,63.28917647490679,258.5,109.12799999999996,54.881,0.9743999999999996
CC(=O)NC1=CC=C(C=C1)N,590.87,404.71,823.5636061518043,42.33038953694362,445.5,150.18100000000007,60.163,1.2271999999999998
C1=CC=C(C=C1)C(=O)CN,535.72,339.53000000000003,768.5088121660002,42.44076860231937,410.5,135.16600000000005,53.065,0.8280000000000001
