SMILES,DB_MolecularWeight,DB_BoilingPoint,DB_MeltingPoint,Original_MolecularWeight,Original_BoilingPoint,Original_MeltingPoint
CCN(CC)c1ccc(cc1)C(C)=O,191.27,,,191.274,572.13,346.34
CN(C)c1ccc(cc1)C(C)=O,163.22,,,163.22,526.37,323.8
NC(=O)C12CC3CC(CC(C3)C1)C2,179.26,,,179.263,597.74,416.88
CC(O)CN,75.11,159.46,1.74,75.111,432.51,252.65
Nc1ccc(O)c2C(=O)c3ccccc3C(=O)c12,239.23,,,239.23,884.15,695.06
Nc1cccc2C(=O)c3ccccc3C(=O)c12,223.23,,,223.231,803.53,583.34
NC1(CCCC1)C(O)=O,129.16,,330.0,129.159,570.44,436.04
NC1(CC1)C(O)=O,101.10,,231.0,101.105,516.14,420.54
NN1CCCCC1,100.16,,,100.165,418.92,276.98
CCC(N)=C,71.12,,,71.123,360.21,202.38
CCCCN,73.14,78.0,-50.0,73.139,363.65,218.1
CC(C)(N)CCl,107.58,,,107.584,397.85,250.44
CNC(C)CCl,107.58,,,107.584,378.28,202.42
CCCCCCCCCCN,157.30,220.5,17.0,157.301,500.93,285.72
CCCCCCCCCCCCN,185.35,259.0,28.3,185.355,546.69,308.26
CCOCN(C)C,103.16,,,103.165,348.86,200.81
NCC(N)F,78.09,,,78.09,389.25,264.41
CC(C)C(N)F,91.13,,,91.129,362.04,188.69
CCC(N)CF,91.13,,,91.129,362.48,203.69
CC(N)(N)F,78.09,,,78.09,386.46,281.83
FCN,49.048,,,49.048,294.28,184.88
FCNCF,81.06,,,81.065,294.07,166.14
FCC(C)(C)NC,105.15,,,105.156,360.21,201.78
FCC(NC)C(C)C,119.18,,,119.183,385.44,180.63
CC(C)C(F)N(C)C,119.18,,,119.183,347.71,160.44
CN(C)C(F)N(C)C,120.17,,,120.171,337.71,196.64
FCN(CF)CF,113.08,,,113.082,278.49,157.81
CC(F)N(C)C,91.13,,,91.129,302.39,152.9
CNC(C)CF,91.13,,,91.129,340.12,173.09
CCC(N)F,77.10,,,77.102,339.6,192.42
Nc1[nH]c2ccccc2n1,133.15,,,133.154,581.75,502.88
CCCCCCCN,115.22,,,115.22,432.29,251.91
Nc1ccc2[nH]ncc2c1,133.15,,,133.154,581.75,502.88
O=C1Nc2ccccc2C1=O,147.13,,203.0,147.133,609.9,482.51
Nc1cccc2c1C(=O)NC2=O,162.15,,,162.148,687.41,578.29
Nc1[nH]c(N)c2ncnc2n1,150.14,,,150.145,720.9,719.2
NC(=O)c1[nH]ccc1,110.11,,,110.116,512.2,413.51
Nn1cnnn1,85.07,,,85.07,482.55,451.56
Nc1nccc2ccccc12,144.17,,,144.177,582.39,417.63
COC(N)C(C)C,103.16,,,103.165,408.07,221.6
COCC(C)(C)N,103.16,,,103.165,405.72,254.02
COCC(C)N,89.14,,,89.138,385.63,225.33
COCN,61.08,,,61.084,340.31,217.79
COC(N)N,76.10,,,76.099,412.4,286.05
COCN(C)C,89.14,,,89.138,325.98,189.54
CNC(C)OC,89.14,,,89.138,363.27,194.73
CNCOC,75.11,,,75.111,340.83,198.46
Cn1c(N)nc2ccccc12,147.18,,,147.181,564.25,445.11
Cn1nnnc1N,99.10,,,99.097,510.41,475.35
CC1(N)CCCC1,99.17,,,99.177,424.93,275.44
CC(N)=C,57.09,,,57.096,337.33,191.11
CNC(C)N(C)C,102.18,,,102.181,376.17,216.24
CNC(NC)CC,102.18,,,102.181,413.9,236.43
Nc1c2ccccc2ccc1,143.18,300.7,49.2,143.189,551.57,357.36
CNC(N)C,74.13,,,74.127,390.5,244.49
CNC(N)CC,88.15,,,88.154,413.38,255.76
CCCCCCCCCN,143.27,,,143.274,478.05,274.45
CCCCCCCCN,129.24,,,129.247,455.17,263.18
OC(CNc1ccccc1)COc2ccccc2,243.30,,,243.306,760.49,432.36
CC(N)c1ccccc1,121.18,188.5,-65.0,121.183,481.41,274.6
NCCN1CCNCC1,129.20,220.0,17.6,129.207,490.35,393.28
NCCN1CCCC1,114.19,,,114.192,437.53,291.77
CCCCCCCCCCCCCCN,213.40,,,213.409,592.45,330.8
O=C1Nc2ccccc2C=C1,145.16,,,145.161,568.39,422.8
CC(C)c1ccccc1N,135.21,,,135.21,509.27,298.39
NCCOCCO,105.14,221.0,-12.5,105.137,478.25,301.15
NCCNCCO,104.15,-40.0,,104.153,506,331.58
NCCc1ccccn1,122.17,,,122.171,512.67,349.87
Cc1ccccc1NCCO,151.21,,,151.209,579.53,343.61
CC(C)N(CCO)C(C)C,145.24,,,145.246,486.38,243.21
CCCCNCCO,117.19,,,117.192,479.23,270.86
CCN(CC)CCO,117.19,163.0,-70.0,117.192,441.5,250.67
CC(CO)N(C)C,103.16,,,103.165,418.18,224.4
CN(C)c1ccccc1C(O)=O,165.19,,,165.192,595.13,423.2
CN(C)CCO,89.14,134.1,-65.0,89.138,395.74,228.13
CN(C)CCOC(=O)C(C)=C,157.21,186.0,-30.0,157.213,449.86,239
CCNCCO,89.14,,,89.138,433.47,248.32
CCN(CCO)c1ccccc1,165.23,,,165.236,559.7,322.17
CNc1ccccc1C(O)=O,151.16,,179.0,151.165,609.98,432.12
COC(=O)c1ccccc1NC,165.19,256.0,-19.5,165.192,545.57,325.12
CNCCO,75.11,1559.24,-3.0,75.111,410.59,237.05
CN(C)c1ncccn1,123.16,,,123.159,483.4,359.35
CCCNCCO,103.16,,,103.165,456.35,259.59
NCCOC(F)(F)F,129.08,,,129.081,357.77,233.25
Nc1ccccc1C(F)(F)F,161.12,,,161.126,458.53,295.04
CCCCN(CCO)CCO,161.24,,,161.245,579.44,334.03
CN(CCO)CCO,119.16,245.0,-21.0,119.164,510.8,300.22
CN(C)C(=O)C(Cl)(Cl)Cl,190.45,,,190.457,466.49,309.42
COC(N)C(F)(F)F,129.08,,,129.081,357.33,218.25
NC(=O)C(F)(F)F,113.04,,,113.038,366.34,249.68
NCC(F)(F)F,99.06,,,99.055,312.47,199.75
FCNCC(F)(F)F,131.07,,,131.072,312.26,181.01
FC(F)(F)N(C(=O)C(F)(F)F)C(F)(F)F,249.03,,,249.032,341.17,229.81
CN(C)C(=O)C(F)(F)F,141.09,,,141.092,352.01,221.43
CNCC(F)(F)F,113.08,,,113.082,312.99,180.42
CN(C)CC(F)(F)C(F)(F)F,177.12,,,177.116,316.33,186.37
CNCC(F)(F)C(F)(F)F,163.09,,,163.089,331.18,195.29
NCC(F)(F)C(F)(F)F,149.06,,,149.062,330.66,214.62
NCC(F)(F)C(F)(F)C(F)(F)F,199.07,,,199.069,348.85,229.49
CNCC(F)(F)C(F)(F)C(F)(F)F,213.10,,,213.096,349.37,210.16
NC(N)(C(F)(F)F)C(F)(F)F,182.07,,,182.067,399.23,300.89
NC(=O)C(Br)(Br)C#N,,,,241.87,625.81,443.77
NC(=O)C(Cl)Cl,127.95,,,127.958,446.18,290.33
CCOC(CN)OCC,133.19,,,133.191,453.81,270.1
CCOC(CO)OCC,134.17,,,134.175,473.46,247.66
NC1CCCC1(F)F,121.13,,,121.13,395.92,261.11
NCC(F)F,81.06,,,81.065,315.99,181.74
CN(C)CC(F)F,109.12,,,109.119,301.66,153.49
CN(C)CC(F)(F)C,123.14,,,123.146,321.75,182.18
CNCC(F)F,95.09,,,95.092,316.51,162.41
CNCC(C)(F)F,109.12,,,109.119,336.6,191.1
CC(F)(F)CN,95.09,,,95.092,336.08,210.43
CC(C)(C)CN,87.16,,,87.166,383.3,231.79
CCC(C)(C)CN,101.19,,,101.193,406.18,243.06
CC(C)(C)C(=O)N(c1ccccc1)c1ccccc1,253.34,,,253.345,705,419.01
CC(C)(C)C(N)=O,101.15,,,101.149,437.17,281.72
CC(C)(C)C(N)N,102.18,,,102.181,455.39,300.05
Nc1ccccc1Cc2ccccc2N,198.26,,,198.269,705.42,480.67
CC(C)(N)N,74.13,,,74.127,410.07,292.51
NCC(F)C(F)(F)F,131.07,,,131.072,334.18,196.61
