SMILES,DB_MolecularWeight,DB_BoilingPoint,DB_MeltingPoint,Original_MolecularWeight,Original_BoilingPoint,Original_MeltingPoint
CCCC(=O)Nc1ccccc1,163.22,,,163.22,559.12,331.47
CCCCCCCCCC(N)=O,171.28,,,171.284,554.8,335.65
O=C1CCCCCN1,113.16,270.0,69.3,113.16,481.74,338.73
NC(=O)N1c2ccccc2C=Cc3ccccc13,236.27,,190.2,236.274,751.26,528.81
CC(C)COC(N)=O,117.15,,,117.148,444.31,256.7
NC(Cl)=O,79.48,,,79.486,386.31,264.14
CNC(=O)Oc1cccc2ccccc12,201.22,,145.0,201.225,633.19,391.63
COC(=O)Nc1[nH]c2ccccc2n1,191.19,,300.0,191.19,663.37,537.15
Nc1cc(Cl)cc(C(O)=O)c1Cl,206.02,,-201.0,206.028,694.28,536.33
NC(F)(F)Cl,101.48,,,101.483,327.75,217.81
NC(F)Cl,83.49,,,83.493,331.27,199.8
CN(C)CCCN1c2ccccc2Sc3ccc(Cl)cc13,318.9,-205.0,60.0,318.873,769.87,579.28
CC(C)OC(=O)Nc1cccc(Cl)c1,213.66,149.0,-41.1,213.664,605.44,351.31
NC(=O)C=Cc1ccccc1,147.17,,,147.177,562.76,345.72
OC(=O)C=Cc1ccccc1,148.16,,,148.161,581.87,373.13
C\C=C/C(N)=O,,,,85.106,421.68,262.95
CCC\C=C/C(N)=O,,,,113.16,467.44,285.49
CN1CC(=O)N=C1N,113.12,,303.0,113.12,517.43,422.27
NC#N,,,,42.041,397.09,249.28
CCNc1nc(Cl)nc(NC(C)(C)C#N)n1,,,,240.698,839.88,659.92
Cc1cc(N)nc(C)n1,123.16,,,123.159,553.45,435.18
CCNC(CC#N)=O,,,,112.132,520.12,313.69
NC1CCC1,71.12,,,71.123,374.66,232.52
NCC1CCCCC1,113.20,,,113.204,451.84,259.29
NC1CCCCC1,99.17,134.5,-17.7,99.177,428.96,248.02
NC1CCCCCCC1,127.23,,,127.231,483.26,263.52
NC1CCCC1,85.15,,,85.15,401.81,240.27
NC1CC1,57.09,,,57.096,347.51,224.77
NC(=O)C1CC1,85.10,,,85.106,424.26,285.97
NC1CONC1=O,102.09,,,102.093,499.37,417.55
[O-][N+](=O)N1CN(CN(CN(C1)[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,296.16,280.0,281.0,296.156,963.92,857.82
Nc1nc(N)nc(NC2CC2)n1,166.18,,224.9,166.188,736.59,660.58
NC1=NC(=O)NC=C1,111.10,,300.0,111.104,561.24,488.55
FC1=CNC(=O)N=C1N,129.09,,-297.0,129.094,565.49,501.66
CN(C)NC(=O)CCC(O)=O,160.17,,-155.0,160.173,598.87,453.04
CC(C)c1ccc2c(CC[C@H]3[C@](C)(CN)CCC[C@]23C)c1,285.5,,,285.475,783.76,507.28
CNCCCN1c2ccccc2CCc3ccccc13,266.4,-174.0,-218.0,266.388,744.51,481.33
C[C@H](N)Cc1ccccc1,135.21,203.5,27.5,135.21,504.29,285.87
CCC(C)NC(C)CC,129.24,,,129.247,431.93,202.58
CC(=O)NC(C)=O,101.10,,,101.105,449.03,287.36
CC(=O)CC(C)(C)N,115.17,,,115.176,460.05,292.99
C=CCN(CC=C)C#N,,,,122.171,467.64,262.59
NC(CC=C)CC=C,111.18,,,111.188,425.21,233.39
CN1C(=O)CN=C(c2ccccc2)c3cc(Cl)ccc13,284.74,,132.0,284.746,820.21,582.05
CCCCNCCCC,129.24,-160.0,-59.0,129.247,432.81,232.58
NC(F)(Cl)Cl,117.93,,,117.938,365.91,247.14
OCCNCCO,105.14,268.8,27.9,105.137,525.65,309.14
CCC(CC)(CNC(=O)[C@@H](O)C(C)(C)CO)C(N)=O,,,,274.361,904.94,583.53
CCNCC,73.14,55.5,-50.0,73.139,341.29,187.5
CCCN(CC)CC,115.22,,,115.22,372.2,201.12
CCC(CC)C(N)=O,115.17,,,115.176,462.84,275.57
CCNCC,73.14,55.5,-50.0,73.139,341.29,187.5
CCN(CC)CC#N,,,,112.176,451.4,254.84
CCN(CC)CCCN,130.23,,,130.235,444.73,284.38
CCN(CC)Cc1ccccc1,163.26,,,163.264,490.4,272.62
CCN(CC)C(Cl)=O,135.59,186.0,-32.0,135.594,417.74,258.43
CCN(CC)C#N,,,,98.149,428.52,243.57
CCN(C)CC,87.16,,,87.166,326.44,178.58
OCCCN(CC)CC,131.22,,,131.219,464.38,261.94
FN(F)C#N,,,,78.021,335.54,199.67
NC(N)(F)F,82.053,,,82.053,362.85,271.15
FC(F)N(C(F)(F)F)C(F)(F)F,203.03,,,203.032,267.94,150.6
CN(C)C(F)F,95.09,,,95.092,278.78,142.22
FC(F)OC(F)(F)F,136.02,,,136.019,260.46,124.9
CC(C)NC(C)C,101.19,84.0,-61.0,101.193,386.17,180.04
CC(C)N(C#N)C(C)C,,,,126.203,473.4,236.11
CCC(C)(C)N(C)C,115.22,,,115.22,368.97,203.54
CCC(CC)N(C)C,115.22,,,115.22,371.76,186.12
CNC,45.08,7.3,-93.0,45.085,295.53,164.96
CC(O)N(C)C,89.14,,,89.138,395.3,213.13
CC(C#N)N(C)C,,,,98.149,428.08,228.57
CN(C)C(Cl)=O,107.54,167.0,-33.0,107.54,371.98,235.89
CN(C)C#N,,,,70.095,382.76,221.03
CC(C)(O)CN,89.14,,,89.138,452.6,281.34
CCN(C)C,73.14,36.5,-140.0,73.139,303.56,167.31
CC(C)CCN(C)C,115.22,,,115.22,371.76,186.12
CN(C)[N+]([O-])=O,90.08,,,90.082,409.64,288.38
CCCN(C)C,87.16,,,87.166,326.44,178.58
CCC(C)N(C)C,101.19,,,101.193,348.88,174.85
CN(C)C(C)(C)C,101.19,,,101.193,346.09,192.27
N(c1cccc2ccccc12)c3cccc4ccccc34,269.3,,,269.347,808.65,511.1
ClC(=O)N(c1ccccc1)c2ccccc2,231.68,,,231.682,654.14,401.43
CCCNCCC,101.19,109.3,-63.0,101.193,387.05,210.04
Nc1ccc(Nc2ccccc2)c2c1C(=O)c1ccccc1C2=O,314.3,,,314.344,1022.64,742.56
NC(CSSCC(N)C(O)=O)C(O)=O,240.3,,,240.306,909.64,683.9
CCCCCCCCCCCC(N)=O,199.33,,,199.338,600.56,358.19
NCCc1ccc(O)c(O)c1,153.18,,128.0,153.181,643.09,513.04
CC(C)(CO)[C@H](O)C(=O)NCCC(N)=O,218.25,,,218.253,816.65,536.03
CC\C(=C/C)C(=O)NC(N)=O,,,,156.185,594.24,385.39
CC(C)[C@@H](C)/C=C/[C@@H](C)[C@H]1CC[C@H]2C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,,,,396.659,982.99,536.1
CCN(CC(C)=C)c1c(cc(cc1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,333.26,256.0,-56.0,333.266,845.92,608.41
NC(=O)C(N)=O,88.07,,,88.066,498.16,378.68
NCCO,61.08,170.3,10.4,61.084,410.07,256.38
CCOc1cc(NC(C)=O)ccc1C(=O)OC,237.25,,,237.255,695.48,443.61
CCNCC(F)(F)F,127.11,,,127.109,335.87,191.69
CCOC(=O)\C=C\N(C)C,,,,143.186,434.58,238.37
CCOC(=O)c(cc1)ccc1N(C)C,193.24,,,193.246,553.6,327.47
CCOC(=O)NC(N)=O,132.12,,,132.119,525.91,363.02
CCN,45.08,16.6,-81.2,45.085,317.89,195.56
CCOC(=O)N(CC)CC,145.20,,,145.202,430.42,243.45
OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O,292.24,,245.0,292.244,1035.32,909.8
CCN(C)CC(C)C,115.22,,,115.22,371.76,186.12
CCNC,59.11,,,59.112,318.41,176.23
CCOC(=O)Nc1ccccc1,165.19,238.0,-53.0,165.192,540.59,312.6
CCOC(=O)NCCOc1ccc(Oc2ccccc2)cc1,301.34,,-54.0,301.342,800.13,486.16
CCCN(CCCl)c1c(cc(cc1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,355.70,,-43.0,355.7,863.91,642.78
FC(F)(F)c1cc(Nc2ccccc2C(O)=O)ccc1,281.23,,,281.233,773.5,542.87
CCCC(N)F,91.13,,,91.129,362.48,203.69
OC=O,46.025,101.0,8.3,46.025,367.29,278
NC(=O)/C=C/C(N)=O,,,,114.104,548.08,396.14
NC(=O)c1occc1,111.10,,,111.1,490.6,335.05
NC(=O)c1cocc1,111.10,,,111.1,490.6,335.05
Nc1nonc1N,100.08,,,100.081,553,490.17
NCc1occc1,97.12,,,97.117,436.73,285.12
N[C@@H](CCC(O)=O)C(O)=O,147.13,175.0,213.0,147.13,677.11,535.57
N[C@@H](CCC(N)=O)C(O)=O,146.14,,-185.0,146.146,658,508.16
NCC(O)=O,75.07,,290.0,75.067,463.4,356.16
CN(C)CC(O)=O,103.12,,185.5,103.121,449.07,327.91
NC(=O)CO,75.07,,,75.067,463.94,306.31
NC1=Nc2nc[nH]c2C(=O)N1,151.13,,360.0,151.129,706.9,724.37
CCCCCCC(N)=O,129.20,,,129.203,486.16,301.84
CCCCCCCCCCCCCCCCN,241.46,,,241.463,638.21,353.34
CCCCCCCCCCCCCCCC(N)=O,255.44,,107.0,255.446,692.08,403.27
[O-][N+](=O)N1CN(CN(C1)[N+]([O-])=O)[N+]([O-])=O,222.12,-280.0,205.5,222.117,772.49,673.99
CCCCCC(N)=O,115.17,255.0,101.0,115.176,463.28,290.57
CCCCCCN,101.19,132.0,-21.0,101.193,409.41,240.64
NCCc1c[nH]cn1,111.15,-210.0,-84.0,111.148,512.03,435.12
N(Nc1ccccc1)c2ccccc2,184.24,293.0,131.0,184.242,627.86,383.16
NO,33.030,70.0,33.0,33.03,364.31,233.84
NC(=O)NO,76.055,,141.0,76.055,491.23,347.7
Clc1ccc(C(Cn2ccnc2)OCC=C)c(Cl)c1,297.2,347.0,52.7,297.185,730.22,488.5
NC(=O)NC(N)=O,103.08,,190.0,103.081,548.33,431.34
OC(=O)CNCC(O)=O,133.10,,247.5,133.103,632.31,508.7
CN(C)CCCN1c2ccccc2CCc3ccccc13,280.4,160.0,174.5,280.415,729.66,472.41
Nc1ccc2[nH]ccc2c1,132.16,,,132.166,550.93,442.61
CC(C)NC(=O)N1CC(=O)N(C1=O)c2cc(Cl)cc(Cl)c2,330.16,,136.0,330.171,884.07,658.72
CC(C)C=O,72.11,64.0,-65.9,72.107,339.34,161.84
CC[C@H](C)[C@H](N)C(O)=O,131.17,-170.0,284.0,131.175,554.04,371.24
NC(=O)c1cccc(c1)C(N)=O,164.16,,,164.164,667.1,485.24
CCCN(CCC)c1c(cc(cc1[N+]([O-])=O)C(C)C)[N+]([O-])=O,309.36,,,309.366,900.1,627.48
CC(C)N,59.11,31.8,-95.119,59.112,340.33,191.83
CNC(C)C,73.14,,,73.139,340.85,172.5
CCCNC(C)C,101.19,,,101.193,386.61,195.04
CC(CCc1ccccc1)NCC(O)c2ccc(O)c(c2)C(N)=O,328.4,,196.0,328.412,1041.15,697.64
CC(C)CCN,87.16,97.0,-60.0,87.166,386.09,214.37
CC(C)C[C@H](N)C(O)=O,131.17,-148.0,293.0,131.175,554.04,371.24
N[C@@H](CCO)C(O)=O,119.12,,203.0,119.12,600.9,424.52
CCN(CC)CC(=O)Nc1c(C)cccc1C,234.34,-160.0,68.0,234.343,673.04,434.06
CCCC[C@H](N)C(O)=O,131.17,,,131.175,554.48,386.24
Fc1ccc(cc1)c(nc1C)sc1C(O)=O,237.25,,,237.255,762.46,623.07
NCCCC[C@H](N)C(O)=O,146.19,,224.0,146.19,627.01,469.5
NC(=O)\C=C/C(O)=O,,,,115.088,567.19,423.55
CN(CCCl)CCCl,156.05,87.0,-60.0,156.056,401.3,238.42
OC(=O)c1ccccc1Nc(c(Cl)ccc1C)c1Cl,296.1,,257.0,296.153,863.74,623.56
OC(=O)c1ccccc1Nc(cccc1C)c1C,241.28,,-231.0,241.29,806.78,562.47
CC(C)C1CCC(C)(CC1O)C(N)=O,199.29,,,199.294,679.87,415.54
CC1=NN=C(c2ccccc2)C(=O)N1N,202.21,,167.0,202.217,743.5,597.61
NCN,46.072,,,46.073,367.54,267.55
NSC,63.12,,,63.125,363.79,218.69
CSCl,82.55,,,82.555,328.69,165.35
C1N2CN3CN1CN(C2)C3,140.19,,260.0,140.19,408.06,364.36
CNC(=O)Oc1cc(C)c(SC)c(C)c1,225.31,,119.0,225.313,670.07,407.1
CSCC[C@H](N)C(O)=O,149.21,181.0,-282.0,149.215,600.38,409.37
CNCCC(F)(F)F,127.11,,,127.109,335.87,191.69
CNC(C)C(C)C,101.19,,,101.193,386.17,180.04
COC(=O)C(C)CCC(=O)N(C)C,187.24,,,187.239,529.61,300.92
CN,31.057,-6.4,-93.42,31.058,295.01,184.29
CNCC(OC)OC,119.16,,,119.164,408.57,228.23
CCc1cccc(N)c1,121.18,,,121.183,486.83,302.12
CN([N+]([O-])=O)[N+]([O-])=O,121.05,,,121.052,538.6,420.72
NC[N+]([O-])=O,76.055,,,76.055,446.85,327.9
COC(=O)Nc1ccccc1,151.16,,,151.165,517.71,301.33
COC(=O)c1ccc(N)cc1,151.16,,,151.165,545.05,344.45
CCC(C)(C)NC,101.19,,,101.193,383.82,212.46
CSC1=NN=C(C(=O)N1N)C(C)(C)C,214.29,132.0,126.2,214.294,736.61,585.47
Nc1cccc(F)c1,111.12,,,111.119,440.34,280.17
CC(=O)Nc1cccc(O)c1,151.16,,,151.165,593.98,420.65
C1COCCN1,87.12,128.0,-4.8,87.122,390.84,278.06
NCC1=CC(=O)NO1,114.10,,175.0,114.104,531.06,446.34
CC(C)Nc1ccccc1,135.21,203.0,-32.0,135.21,481.93,255.27
CC(C)NCc1ccccc1,149.23,,,149.237,504.81,266.54
Fc1cc(F)c(F)c(Nc(c(F)c2F)c(F)c(F)c2F)c1F,331.14,,,331.137,615.94,448.49
NCCNCCN,103.17,207.0,-39.0,103.169,486.35,354.02
FCCN(C)C(C)(C)C,133.21,,,133.21,368.24,204.13
FCCN(C)C(C)C,119.18,,,119.183,348.15,175.44
CC(C)NCCF,105.15,,,105.156,363,184.36
Cc1ccccc1NC(C)=O,149.19,296.0,110.0,149.193,541.22,332.72
NCCCN(C)CCCN,145.25,,,145.25,517.26,367.64
CCN(C)Cc(ccc1)cc1F,167.22,,,167.227,471.77,274.46
CCCCNCC(O)COc1ccccc1,223.31,,,223.316,688.05,383.4
Fc1c(F)c(F)c(Nc(c(F)c2F)c(F)c(F)c2Cl)c(F)c1F,365.58,,,365.582,658.35,490.93
CN(C)c1c(F)c(F)c(Nc(c(F)c2F)c(F)c(F)c2F)c(F)c1F,374.20,,,374.206,679.12,516.02
Cc1ccc(Nc(c2F)c(F)c(F)nc2F)cc1,256.20,,,256.202,653.37,467
Fc1c(F)c(F)c(Nc2c3ccccc3c(cc2)N(=O)=O)c(F)c1F,354.23,,,354.234,871.24,642.48
FC(F)(F)c1c(F)c(F)c(Nc(c(F)c2F)c(F)c(F)c2F)c(F)c1F,399.13,,,399.134,638.38,476.47
CC(=O)NC(=O)N,102.09,,,102.093,498.68,359.35
FC(F)NC(F)(F)F,135.04,,,135.035,288.21,155.33
FCN(C(F)F)C(F)(F)F,167.05,,,167.052,272.63,147
CCCCNC(F)F,123.14,,,123.146,362.27,184.95
CCNC(F)F,95.09,,,95.092,316.51,162.41
CCN(CC)C(F)F,123.14,,,123.146,324.54,164.76
FCNCCCC,105.15,,,105.156,363.44,199.36
FCNC=C,75.08,,,75.086,314.36,175.06
CCNCOC,89.14,,,89.138,363.71,209.73
COCNCN,90.12,,,90.126,413.36,281.72
CCN(C)COC,103.16,,,103.165,348.86,200.81
COCNC(C)C,103.16,,,103.165,386.15,206
CNC(=O)NC(C)=O,116.12,,,116.12,499.2,340.02
Fc1c(F)c(F)c(Nc(c(F)c2F)c(F)c(F)c2F)c(F)c1F,349.13,,,349.127,620.19,461.6
O=N(c1ccccc1)=Cc1ccccc1,197.23,,,197.237,553.72,337.49
Fc1c(F)c(F)c(Nc(c(F)c2F)c(F)c(F)c2C)c(F)c1F,345.16,,,345.164,643.8,472.28
CCNC(F)(F)F,113.08,,,113.082,312.99,180.42
CCCNC(F)(F)F,127.11,,,127.109,335.87,191.69
CNCC(C)(C)C,101.19,,,101.193,383.82,212.46
CNC(C)(C)C(C)C,115.22,,,115.22,406.26,208.73
CNCC(C)CC,101.19,,,101.193,386.61,195.04
CNCC(C)C,87.16,,,87.166,363.73,183.77
CNc1ccccc1C,121.18,,,121.183,464.47,271.52
CNC(C)(C)C,87.16,,,87.166,360.94,201.19
CNCCC(C)C,101.19,,,101.193,386.61,195.04
CNc1cccc(C)c1,121.18,,,121.183,464.47,271.52
CCC(C)(CC)NC,115.22,,,115.22,406.7,223.73
ONC(=O)c1ccc(O)cc1,153.14,,,153.137,663.28,470.2
CNc1ccc(C)cc1,121.18,,,121.183,464.47,271.52
CNC(C)CCC=C(C)C,141.25,,,141.258,459.29,209.81
CNCC(C)C1CCCC1,141.25,,,141.258,470.53,239.75
CNCC(C)c1ccccc1,149.23,,,149.237,504.81,266.54
CC1(C)N=C1N(C)C,112.17,,,112.176,414.14,316.51
CCN(CC)c1c(CC)cccc1CC,205.34,,,205.345,569,331.47
CCC(C)CN(C)C,115.22,,,115.22,371.76,186.12
CC(C)C(=O)N(C)C,115.17,,,115.176,402.75,224.78
CC(C)C(=O)N(C)C,115.17,,,115.176,402.75,224.78
CN(C)C(=O)c1cccc(C)c1,163.22,,,163.22,526.37,323.8
CN(C)c1ccc(C)cc1,135.21,211.0,,135.21,449.62,262.6
CN(C)C(=O)c1ccc(C)cc1,163.22,,,163.22,526.37,323.8
CCN(CC)CN(CC)CC,158.28,,,158.289,430.4,256.13
CN(C)c1ccccc1N(C)C,164.25,,,164.252,484.94,306.34
CN(C)CCN(C)C,116.20,121.0,-55.0,116.208,361.76,222.32
CC(CCN(C)C)N(C)C,144.26,,,144.262,407.08,229.86
CN(C)CCCCN(C)C,144.26,,,144.262,407.52,244.86
CN(C)CCCCCCN(C)C,172.31,,,172.316,453.28,267.4
CN(C)c1cccc2cccc(N(C)C)c12,214.31,,,214.312,600.42,396.64
CN(C)c1ccc(cc1)N(C)C,164.25,,,164.252,484.94,306.34
CNCCN(C)C,102.18,,,102.181,376.61,231.24
CNCN(C)C,88.15,,,88.154,353.73,219.97
NCCNCCNCCN,146.23,-267.0,12.0,146.238,582.28,429.22
OCCN(CC)CCO,133.19,,-50.0,133.191,533.68,311.49
OCCN(CCO)CC(O)=O,163.17,,,163.173,679.19,472.09
OC(COc1ccccc1)CN(CC(O)COc2ccccc2)c3ccccc3,393.5,,,393.483,1069.52,608.07
CCCCN(CC(O)COc1ccccc1)CC(O)COc1ccccc1,373.5,,,373.493,997.08,559.11
FC(F)N(C(F)F)C(F)(F)C(F)(F)F,235.05,,,235.049,289.65,147.46
FCN(CF)CC,109.12,,,109.119,302.1,168.49
COc1ccccc1NC(=O)c2ccc(cc2)C(=O)Nc3ccccc3OC,376.4,,,376.412,1050.86,704.16
CCCCN(C(F)(F)F)C(F)(F)F,209.13,,,209.133,338.48,198.23
CCN(C(F)(F)F)C(F)(F)F,181.08,,,181.079,292.72,175.69
C=CCN(CC=C)CC=C,137.22,155.5,-70.0,137.226,408,218.38
CC(C)(C)C(=O)N(C1CCCCC1)C2CCCCC2,265.4,,,265.441,690.74,380.93
CC(C)C(=O)N(C1CCCCC1)C2CCCCC2,251.41,,,251.414,670.65,352.24
CC(=O)N(C1CCCCC1)C2CCCCC2,223.35,,,223.36,625.33,344.7
CCC(=O)N(C1CCCCC1)C2CCCCC2,237.38,,,237.387,648.21,355.97
CCNCCNCC,116.20,,,116.208,437.22,262.7
CCN(CC)c1ccc(N)cc1,164.25,-262.0,,164.252,545.03,357.13
CCN(CC)C(C)F,119.18,,,119.183,348.15,175.44
CCN(CC)C(=O)C(F)(F)F,169.14,,,169.146,397.77,243.97
CCN(CC)CC(F)(F)F,155.16,,,155.163,343.9,194.04
CCN(CC)c1ccccc1C,163.26,,,163.264,495.38,285.14
CCN(CC)C=CN(=O)=O,144.17,,,144.174,505.32,328.38
CCN(CC)C(=O)c1ccc(OC)cc1,207.27,,,207.273,594.55,368.57
CCN(CC)c(cc1)ccc1C,163.26,,,163.264,495.38,285.14
CCN(CC)c1ccc(cc1)[N+]([O-])=O,194.23,,,194.234,624.34,417.48
CCN(CC)C(=O)c1ccccc1,177.24,,,177.247,544.27,322.55
CCN(CC)c1ccccc1,149.23,216.3,-38.8,149.237,467.52,261.35
CCCC(=O)N(CC)CC,143.23,,,143.23,448.95,262.32
CCN(CC)C1CCCCC1,155.28,,,155.285,460.39,242.31
CCN(CC)CCN,116.20,,,116.208,421.85,273.11
CCN(CC)C(=O)c1cccnc1,178.23,,,178.235,575.09,382.82
CCN(CC)C(=O)CC,129.20,,,129.203,426.07,251.05
CC(C)N(C(C)C)C(=O)C(C)(C)C,185.31,,,185.311,513.48,268.55
CC(C)N(C(C)C)C(C)=O,143.23,,,143.23,448.07,232.32
CC(C)CN(C(C)C)C(C)C,157.30,,,157.301,439.52,189.93
CC(C)N(C)C(C)C,115.22,,,115.22,371.32,171.12
CCC(CC)N(C(C)C)C(C)C,171.32,,,171.328,462.4,201.2
CC(C)N(C)C,87.16,,,87.166,326,163.58
FC(F)C(F)(F)N(C)C,145.10,,,145.099,296.97,157.09
CN(C)C(N)C,88.15,,,88.154,375.65,235.57
CN(C)c1ccccc1N,136.19,,,136.198,499.27,334.59
CNCC(C)NC,102.18,,,102.181,413.9,236.43
CN(C)c1cccc(N)c1,136.19,,,136.198,499.27,334.59
CNCCCNC,102.18,,,102.181,414.34,251.43
CN(C)Cc1cc(C(F)(F)F)ccc1,203.20,,,203.207,467.08,278.06
CN(C)C(=O)C12CC3CC(CC(C3)C1)C2,207.31,,,207.317,583.41,388.63
CCCCN(C)C,101.19,,,101.193,349.32,189.85
CN(C)n1cccc1,110.16,,,110.16,375.76,242.5
CN(C)c1ccccc1[N+]([O-])=O,166.18,,,166.18,578.58,394.94
CN(C)/C=C/[N+]([O-])=O,,,,116.12,459.56,305.84
CN(C)c1ccccn1,122.17,,,122.171,452.58,299.08
ClCCCN(C)C,121.61,,,121.611,363.87,208.5
CN(C)c1cc(ccc1)N(=O)=O,166.18,,,166.18,578.58,394.94
CN(C)C(=O)c1ccc(cc1)C(F)(F)F,217.19,,,217.19,520.95,327.99
COc1ccc(cc1)C(=O)N(C)C,179.22,,,179.219,548.79,346.03
CN(C)C(=O)c1ccc(cc1)[N+]([O-])=O,194.19,,,194.19,655.33,456.14
CN(C)c1ccc(cc1)N(=O)=O,166.18,,,166.18,578.58,394.94
CN(C)C(C)=O,87.12,-165.0,-18.59,87.122,357.43,217.24
CN(C)\C=C\C=C\C=C\C=O,,,,151.209,479.1,250.42
CN(C)\C=C\C=C\C=O,,,,125.171,429.18,232.96
CN(C)c1ccccc1,121.18,193.0,2.1,121.183,421.76,238.81
CN(C)C(=O)c1ccccc1,149.19,,,149.193,498.51,300.01
CN(C)Cc1ccccc1,135.21,180.0,-75.0,135.21,444.64,250.08
CCCC(=O)N(C)C,115.17,,,115.176,403.19,239.78
CN(C)C1CCCCC1,127.23,-165.0,-77.0,127.231,414.63,219.77
CCCCCCCCCC(=O)N(C)C,199.33,,,199.338,540.47,307.4
CCCCCCCCCCCC(=O)N(C)C,227.39,,,227.392,586.23,329.94
CN(C)CCN,88.15,,,88.154,376.09,250.57
CCCCCCC(=O)N(C)C,157.25,,,157.257,471.83,273.59
CCCCCCCCCCCCCCCC(=O)N(C)C,283.5,,,283.5,677.75,375.02
CCCCCC(=O)N(C)C,143.23,,,143.23,448.95,262.32
CC(C)N(C)C,87.16,,,87.166,326,163.58
NCN(C)C,74.13,,,74.127,353.21,239.3
CN(C)c1cccc(C)c1,135.21,,,135.21,449.62,262.6
CN(C)CC(C)(C)C,115.22,,,115.22,368.97,203.54
CCCCCCCCC(=O)N(C)C,185.31,,,185.311,517.59,296.13
CCCCCCCC(=O)N(C)C,171.28,,,171.284,494.71,284.86
CN(C)c1ccccc1C,135.21,,,135.21,449.62,262.6
Clc1ccc(cc1)C(=O)N(C)C,183.63,,,183.638,540.92,342.45
CCCCCCCCCCCCCCC(=O)N(C)C,269.5,,,269.473,654.87,363.75
CCCCC(=O)N(C)C,129.20,,,129.203,426.07,251.05
CN(C)C(=O)C(C)(C)C,129.20,,,129.203,422.84,253.47
CN(C)c1ccc(N)cc1,136.19,263.0,53.0,136.198,499.27,334.59
CN(C)CC=C,85.15,,,85.15,323.12,176.82
CN(C)CC#C,,,,83.134,316.56,225.55
CCC(=O)N(C)C,101.15,,,101.149,380.31,228.51
CCC(N)N(C)C,102.18,,,102.181,398.53,246.84
CCCCCCCCCCCCCC(=O)N(C)C,255.44,,,255.446,631.99,352.48
CCCCCCCCCCCCC(=O)N(C)C,241.41,,,241.419,609.11,341.21
CCCCCCCCCCC(=O)N(C)C,213.36,,,213.365,563.35,318.67
CCCCCCCCN(CCCCCCCC)CCCCCCCC,353.7,,-34.6,353.679,761.16,392.71
CCCCCN(CCCCC)CCCCC,227.43,,,227.436,555.24,291.28
N(c1ccccc1)c1ccc(Nc2ccccc2)cc1,260.3,-225.0,-151.0,260.34,796.8,489.72
CC(=O)N(c1ccccc1)c2ccccc2,211.26,,,211.264,639.59,382.78
O=C(N(c1ccccc1)c2ccccc2)c3ccccc3,273.3,,,273.335,780.67,465.55
c(cc1)ccc1N(c1ccccc1)c1ccccc1,245.3,365.0,127.0,245.325,703.92,404.35
C#CCN(CC#C)CC#C,,,,131.178,388.32,364.57
CCCN(CCC)CCC,143.27,156.0,-93.5,143.274,417.96,223.66
CCCN(CCC)C(C)=O,143.23,,,143.23,448.95,262.32
CC(C)(C)NCCNC(C)(C)C,172.31,,,172.316,522.28,312.62
FC(F)(F)N(C(F)(F)F)C(F)(F)Br,281.93,,,281.928,331.31,227.82
FC(F)(F)N(C)C(F)(F)Br,227.96,,,227.958,336.73,223.63
CCN(CC)CCCC(C)N,158.28,,,158.289,490.05,291.92
C=CCNCC=C,97.16,111.0,-88.4,97.161,380.41,206.52
CC(=O)Nc1c2ccccc2cc2ccccc12,235.28,,,235.286,744.32,489.53
CC(C)C[C@H](NC(C)=O)C(N)=O,172.22,,,172.228,612.2,385.7
CC(=O)NCC(O)=O,117.10,,209.0,117.104,540.67,398.03
CC(=O)NCC(=O)N,116.12,,,116.12,521.56,370.62
CC(NC(C)=O)C(=O)N,130.15,,,130.147,544,366.89
CC(=O)N[C@@H](CS)C(O)=O,163.20,,109.5,163.198,625.97,430.76
CSCCC(NC(C)=O)C(O)=O,191.25,,,191.252,677.65,451.24
CC(C)C(NC(C)=O)C(=O)N,158.20,,,158.201,589.32,374.43
CN(C(C)=O)C(C)=O,115.13,,,115.132,434.18,278.44
CC(=O)N(C(C)=O)c1ccccc1,177.20,,,177.203,575.26,361.21
CC(C)(C)NCC(O)COc1cccc2C[C@@H](O)[C@@H](O)Cc12,309.4,,-136.0,309.406,977,587.76
C=CCNc1ccccc1,133.19,,,133.194,479.05,268.51
CCN(CC)C(=O)C(C)Oc1cccc2ccccc12,271.35,,75.0,271.36,727.49,442.62
C(NCc1ccccc1)c2ccccc2,197.27,,,197.281,623.45,353.04
CC(=O)NCc1ccccc1,149.19,,,149.193,536.24,320.2
CCN(C)Cc1ccccc1,149.23,,,149.237,467.52,261.35
CC(=O)NBr,137.96,,,137.964,415.56,274.69
CCCCCC(N)=O,115.17,255.0,101.0,115.176,463.28,290.57
CCCCNc1ccccc1,149.23,,,149.237,505.25,281.54
CC(C)NCl,93.55,,,93.557,355.4,191.15
CNCl,65.50,,,65.503,310.08,183.61
C(CC1)CCC1NC1CCCCC1,181.32,255.8,-0.1,181.323,563.43,292.42
