Mol. wt.,JR Tm /K,CRC Tm /K
103.12099999999997,363.7,467.45
89.13799999999995,263.92,272.15
102.09299999999998,359.35,491.15
223.07000000000008,422.96,427.15
257.676,625.78,485.15
231.68200000000007,477.2600000000001,373.65
181.18800000000013,484.74,400.15
381.0229999999998,727.9800000000001,499.15
178.01800000000003,463.66,368.65
178.01800000000006,463.66,441.15
199.12200000000004,691.04,441.15
105.13699999999994,301.15,260.65
151.2090000000001,331.69000000000005,350.65
119.16399999999992,353.43000000000006,310.65
239.23000000000005,695.06,489.65
167.1680000000001,588.4200000000001,468.15
153.13700000000006,563.17,554.15
119.11999999999996,424.52,491.15
126.11899999999996,569.56,443.15
237.25800000000007,607.13,478.65
123.15499999999994,402.57,409.15
123.15499999999994,402.57,449.65
105.13699999999996,342.16,384.08
89.13799999999995,281.34000000000003,298.65
171.2840000000002,393.24,318.65
173.17100000000005,493.04,480.15
159.18800000000007,469.08,479.15
182.13500000000005,607.5799999999999,551.15
154.12500000000006,534.91,478.95
159.22900000000016,408.78,543.15
115.08799999999998,423.55,445.65
109.12799999999996,378.78,446.65
109.12799999999996,378.78,395.65
150.18100000000007,404.71,439.65
199.2570000000001,522.0600000000001,431.15
135.16600000000005,352.05000000000007,371.65
177.24700000000013,385.86,347.65
75.11099999999995,267.65,285.25
151.2090000000001,397.59,398.65
108.10399999999998,501.36,446.15
143.10200000000003,640.2,673.15
201.3100000000002,457.59,462.15
309.40899999999954,504.2,316.54999999999995
457.4319999999997,895.7499999999999,497.65
304.47399999999936,565.0,501.65
288.4309999999994,533.81,403.15
300.3979999999995,619.55,495.15
192.17000000000004,398.02,431.15
221.25600000000009,518.5,359.15
275.5259999999999,638.63,432.45
93.12899999999996,267.06,267.15
137.13800000000006,451.45,452.85
265.35999999999984,571.6500000000001,395.15
193.24900000000008,447.66,511.95
203.24400000000009,440.66,450.65
222.24300000000005,536.27,492.15
208.21600000000004,487.56000000000006,557.95
208.26000000000008,436.49,433.65
226.23100000000005,642.78,452.15
194.2330000000001,463.6,431.15
194.2330000000001,419.34,428.15
222.2400000000001,419.52,302.35
152.1460000000001,405.21,375.65
150.13000000000008,386.39,437.65
176.12400000000005,471.73,464.15
414.5389999999994,633.56,385.15
133.10300000000004,524.3,550.65
266.3409999999999,525.38,420.15
215.68800000000013,566.24,450.15
152.11700000000005,784.6400000000001,573.15
128.17399999999995,261.58000000000004,372.15
258.104,513.6,345.54999999999995
128.087,561.1800000000001,521.15
325.4079999999996,502.77,352.15
229.28200000000007,502.4500000000001,405.15
228.29400000000007,442.18,433.15
230.26600000000005,501.89,446.15
120.15099999999994,248.34000000000003,306.65
136.15000000000006,366.94000000000005,349.85
117.15099999999995,271.33000000000004,251.05
138.12200000000004,298.22,315.15
138.19100000000003,281.46000000000004,297.15
108.14399999999996,362.84,413.45
203.02400000000003,378.56000000000006,316.65
164.16400000000007,485.24,495.15
138.16600000000008,340.5,339.15
138.16600000000008,340.5,390.65
194.1860000000001,326.06,396.65
142.24800000000005,269.24,301.65
121.18299999999994,289.6,273.15
124.20799999999994,231.53000000000003,243.15
178.2310000000001,400.75,332.15
131.178,282.6,272.15
136.19400000000005,278.43,255.15
110.18099999999995,220.26,258.28
265.4789999999999,482.2000000000001,309.45
210.141,724.45,653.15
126.11099999999996,506.44,398.65
126.11099999999996,506.44,413.65
252.2220000000001,403.45,372.15
184.2420000000001,469.4,400.15
133.15400000000005,502.88,505.05
197.19300000000004,572.8100000000001,573.15
278.3539999999997,532.48,398.55
137.13800000000003,378.69,315.15
152.14900000000006,367.52,331.15
272.3029999999997,541.2,430.15
252.3160000000001,516.22,441.55
216.28300000000007,433.67,462.75
216.28300000000007,433.67,488.15
162.14400000000003,452.76,465.65
160.17200000000005,353.36,349.15
136.15400000000005,380.92,388.15
103.12399999999997,260.06,260.33
276.33799999999974,590.26,553.15
182.2220000000001,339.04,321.15
146.14500000000004,298.92,341.15
252.3160000000001,516.22,452.15
252.3160000000001,516.22,453.15
179.22200000000004,412.15,324.09
136.17900000000003,445.79,316.85
150.20600000000005,481.30000000000007,360.15
165.22100000000006,533.96,475.95
227.28800000000007,603.8000000000001,404.15
119.12699999999997,467.37,373.15
