Property,Model,Kernel,Anisotropic?,LML,Test_MAPD,Train_MAPD,Test_MAE,Train_MAE,Test_R2,Train_R2
Tm,4,Matern52,False,-4080.7824292458454,12.50334263458664,13.11481964735843,41.89929886176895,42.37025157786124,0.7106483351651234,0.7105095183080768
Tm,1,RQ,True,-4085.0378190068213,12.496847921840269,13.103275337096662,41.904194798710776,42.34010900759116,0.7106150058482632,0.7107147200978501
Tm,2,RQ,True,-6156.2852532966745,15.981377274955397,17.537862167811717,55.98286822213447,60.5797638278751,0.33116172554382917,0.3259192685959532
Tm,3,RQ,True,-4093.797675353908,12.557240668282304,13.141878857594214,42.1019281798144,42.47009596443624,0.707045845202893,0.7093100375070055
Tm,4,RQ,True,-4080.0291610910167,12.487197559983755,13.098338332162337,41.86744310809157,42.32472706834437,0.7109188819900116,0.7110433129038165
Tm,1,RBF,True,-4099.955847152658,12.627353553205195,13.263690353485359,42.30142473081531,42.81774324776851,0.7069127349758567,0.7049875939135797
Tm,2,RBF,True,-6159.380656925952,16.07081243339091,17.566367501256373,56.524736385232515,60.693135390874495,0.14974307736237702,0.3203995172883315
Tm,3,RBF,True,-4109.82021710223,12.68323592991806,13.302262840939505,42.527789468571484,42.9911368949339,0.700287727338704,0.703111429089005
Tm,4,RBF,True,-4090.6821771826867,12.555982062722974,13.192674139161792,42.09951159069648,42.6476410211588,0.7096310947754159,0.7070748417752648
Tm,1,Matern12,True,-4077.219508077214,12.448499648838228,12.633307939982027,41.784331011486685,40.781384847495644,0.7111670344575431,0.7304150979889352
Tm,2,Matern12,True,-5987.702170215619,15.840963492283237,12.303382949111965,55.136192831064825,41.29450609212754,0.24739311080287818,0.7232606705806629
Tm,3,Matern12,True,-4083.12475796771,12.47145736653824,12.584740970881864,41.8784315548178,40.636211009996586,0.7095755338792397,0.7323154424517175
Tm,4,Matern12,True,-4072.534874628628,12.445882618442768,12.67532076390386,41.76319174269093,40.925670269660785,0.7113905833390453,0.7286568155135237
Tm,1,Matern32,True,-4079.844558023833,12.504613246545293,13.102263362440894,41.92382571131441,42.346024187270665,0.7104115177211212,0.7105539464842003
Tm,2,Matern32,True,-6161.02268200818,16.04095596712319,17.47669280348013,56.212871022100764,60.350863911908085,0.30435163165358525,0.3325855369065285
Tm,3,Matern32,True,-4083.843884410646,12.53827784365046,13.141256127039405,42.01911138532192,42.46609412574472,0.709271778480786,0.7092375578831824
