Mol. wt.,JR Vc /(cm3 mol-1),CRC Vc /(cm3 mol-1)
506.9879999999989,2051.5,2711.0
84.16199999999994,352.5,381.0
84.16199999999994,351.5,347.0
84.16199999999994,351.5,353.0
84.16199999999994,351.5,352.0
98.14499999999994,358.5,359.0
144.21400000000014,509.5,526.0
101.19299999999993,400.5,402.0
162.27600000000015,599.5,620.0
206.2850000000001,681.5,658.0
118.17899999999992,389.5,385.0
72.10699999999996,270.5,283.0
58.12400000000002,253.5,256.0
56.10800000000002,241.5,240.0
116.15999999999993,391.5,369.0
134.222,481.5,493.0
144.21400000000014,503.5,524.0
140.27000000000007,522.5,550.0
144.21400000000014,497.5,530.0
158.24100000000016,553.5,581.0
130.18699999999995,447.5,462.0
72.15099999999997,309.5,313.0
130.18699999999995,447.5,464.0
158.24100000000016,559.5,595.0
144.21400000000014,503.5,523.0
102.13299999999995,335.5,343.0
59.11200000000002,226.5,231.0
120.19499999999992,425.5,423.0
126.2429999999999,466.5,484.0
134.222,481.5,495.0
74.12299999999996,271.5,287.0
129.16199999999998,402.5,380.0
136.23800000000003,496.5,498.0
156.26900000000018,539.5,539.0
98.14499999999994,358.5,353.0
48.110000000000014,145.5,148.0
32.041999999999994,110.5,117.0
76.09499999999996,240.5,263.0
118.13199999999996,359.5,368.0
102.17699999999992,378.5,372.0
90.12199999999996,290.5,304.0
72.10699999999997,259.5,257.0
74.07899999999998,229.5,227.0
31.058,120.5,139.0
107.15599999999996,348.5,377.0
107.15599999999996,348.5,346.0
107.15599999999996,348.5,334.0
107.15599999999992,354.5,347.0
122.16699999999992,393.5,397.0
122.16699999999992,393.5,449.0
122.16699999999992,393.5,396.0
122.16699999999992,388.5,399.0
136.15000000000006,401.5,408.0
102.13299999999994,341.5,341.0
102.13299999999994,333.5,355.0
88.14999999999993,328.5,342.0
88.14999999999993,328.5,335.0
88.14999999999993,323.5,326.0
86.13399999999994,315.5,321.0
70.13499999999998,290.5,305.0
70.13499999999998,296.5,299.0
88.14999999999993,322.5,335.0
98.18899999999992,360.5,368.0
84.16199999999994,312.5,322.0
98.14499999999994,319.5,328.0
135.21000000000004,449.5,466.0
214.34900000000025,789.5,842.0
82.10199999999996,250.5,252.0
114.2319999999999,477.5,487.0
114.2319999999999,477.5,463.0
114.2319999999999,477.5,480.0
144.21400000000014,509.5,521.0
130.23099999999994,490.5,505.0
130.23099999999994,490.5,493.0
128.21499999999992,483.5,484.0
112.21599999999992,465.5,466.0
112.21599999999992,464.5,465.0
100.20499999999991,421.5,420.0
100.20499999999991,421.5,405.0
114.18799999999992,427.5,434.0
98.18899999999992,402.5,410.0
102.13299999999994,335.5,341.0
100.11699999999996,323.5,320.0
142.20100000000008,465.5,479.0
142.20100000000008,465.5,464.0
128.2589999999999,533.5,547.0
150.04600000000002,289.5,301.0
86.17799999999993,365.5,371.0
86.17799999999993,365.5,368.7
116.15999999999993,397.5,398.0
102.17699999999992,384.5,410.0
102.17699999999992,384.5,406.0
102.17699999999992,379.5,410.0
102.17699999999992,378.5,389.0
102.17699999999992,378.5,380.0
102.17699999999992,379.5,376.0
100.16099999999992,371.5,378.0
84.16199999999994,352.5,348.0
84.16199999999994,345.5,350.0
102.17699999999992,389.5,395.0
90.12199999999996,291.5,300.0
88.10599999999995,277.5,296.0
74.12299999999995,272.5,274.0
74.12299999999995,267.5,283.0
74.12299999999996,277.5,281.0
143.18900000000005,458.5,447.0
152.14900000000006,367.5,436.0
86.13399999999994,277.5,292.0
