Mol. wt.,CRC Tb /K
156.18800000000005,578.15
103.16899999999994,479.65
263.95999999999987,518.15
366.4539999999996,682.15
173.0390000000001,489.15
159.08100000000007,471.15
175.05800000000008,524.65
114.959,377.15
118.029,278.85
310.3459999999996,618.15
242.4470000000003,552.15
390.56399999999945,656.15
161.24500000000018,552.15
119.16399999999992,518.15
158.2440000000001,504.15
214.33300000000008,573.15
225.3350000000001,569.65
214.108,388.15
166.27000000000004,533.15
196.29000000000016,496.65
238.3710000000002,530.65
136.97600000000003,411.15
104.93399999999998,277.85
172.02500000000003,523.15
187.03600000000003,489.15
187.03600000000003,488.15
196.04700000000005,528.15
201.01900000000003,568.15
182.02000000000004,525.15
182.02000000000004,509.15
219.46500000000003,518.15
233.1080000000001,582.15
135.00400000000005,359.15
135.00400000000005,354.15
135.00400000000005,371.15
135.00400000000005,359.15
233.49200000000005,670.65
191.455,469.15
171.4650000000001,434.15
143.41100000000003,374.15
147.374,312.15
205.48200000000003,509.15
157.43800000000005,416.15
157.43800000000005,368.15
197.381,323.15
149.0310000000001,410.65
225.90000000000003,505.15
181.819,325.95
197.0720000000001,443.15
217.06200000000007,535.15
169.01800000000006,422.15
185.06400000000008,477.15
185.06400000000005,477.15
185.06400000000008,488.15
249.23600000000025,548.15
124.96499999999996,415.15
201.06300000000007,496.15
153.0190000000001,400.15
185.06400000000005,474.15
185.06400000000005,475.15
185.06400000000005,477.15
175.00000000000003,427.15
175.00000000000003,423.15
112.929,296.15
146.97100000000003,379.15
179.10100000000014,452.15
305.3439999999993,609.15
165.0740000000001,412.15
282.9059999999999,530.15
282.9059999999999,525.15
199.0910000000001,492.15
94.93899999999998,276.54999999999995
124.96499999999996,360.15
186.05200000000008,513.15
151.0470000000001,394.15
149.0310000000001,394.15
185.06400000000005,490.15
185.06400000000005,493.15
165.0740000000001,418.15
165.0740000000001,403.15
137.02000000000007,364.45
229.8990000000001,436.15
135.00400000000005,365.15
207.07,553.15
223.069,403.15
202.007,538.15
139.93600000000004,422.15
333.3979999999993,630.15
193.12800000000013,461.65
246.96,406.15
151.0470000000001,399.15
151.0470000000001,391.15
257.13,633.15
173.009,509.65
199.04700000000005,530.15
213.07400000000007,520.65
122.99299999999997,332.49
138.99200000000008,419.65
171.42100000000005,405.15
120.97699999999998,334.15
120.97699999999998,343.25
118.96099999999998,346.15
157.99800000000005,445.15
208.058,554.15
164.02700000000002,444.15
163.03900000000002,422.15
171.03700000000006,457.15
198.274,376.15
162.93600000000004,299.15
148.909,215.32
225.007,424.65
199.0910000000001,498.15
183.04800000000003,488.15
54.09200000000001,284.15
50.06,283.15
87.12199999999996,425.15
58.12400000000002,272.66
90.12199999999994,469.57
90.12199999999996,502.65
174.1960000000001,506.15
226.27200000000013,563.15
101.10499999999996,458.65
122.25799999999995,468.65
122.11999999999992,603.65
88.10599999999995,436.85
74.12299999999995,372.55
140.23000000000008,443.15
106.55199999999996,374.15
70.09099999999997,375.35
56.10800000000002,276.87
78.074,459.15
152.96400000000003,432.15
67.09099999999998,393.15
86.08999999999996,442.15
86.08999999999996,442.15
72.10699999999996,394.35
72.10699999999996,370.15
104.53599999999996,394.15
132.206,455.15
52.07600000000001,279.15
118.17599999999992,444.15
176.25600000000017,507.15
164.24800000000013,502.65
115.17599999999992,502.15
116.15999999999993,381.15
116.15999999999993,457.15
128.17099999999994,393.15
73.13899999999995,335.86
117.19199999999992,472.15
149.2370000000001,534.15
149.2370000000001,514.15
149.23700000000014,488.15
134.222,446.45
166.2200000000001,559.15
178.2310000000001,522.15
210.3200000000001,565.15
150.6050000000001,454.15
136.57800000000006,415.15
141.17000000000007,504.15
140.27000000000007,444.75
185.0500000000001,466.65
162.27600000000015,480.15
178.27500000000015,535.15
101.19299999999993,377.95
102.17699999999992,362.15
102.17699999999992,345.85
160.25700000000018,542.15
118.24499999999992,393.55
172.26800000000017,477.15
194.2300000000001,544.15
130.23099999999994,408.15
99.13299999999995,398.15
142.19800000000012,436.85
164.24800000000013,496.15
148.24900000000014,473.15
148.24900000000014,466.15
88.14999999999993,343.25
164.24800000000013,506.15
104.21799999999992,396.55
184.28200000000007,561.15
103.12099999999997,351.15
103.12099999999997,337.15
200.3220000000002,513.15
158.24100000000016,459.15
150.22100000000012,502.15
150.22100000000012,522.15
150.22100000000012,524.15
150.22100000000012,517.15
176.25900000000013,536.15
130.18699999999995,418.25
116.20399999999992,390.15
340.5919999999992,616.15
140.2510000000001,452.15
170.13000000000005,377.65
100.16099999999992,348.15
54.09200000000001,300.25
86.08999999999996,511.15
70.09099999999997,413.15
70.09099999999997,379.65
130.18999999999997,450.15
152.23700000000014,482.15
167.21100000000007,627.75
187.818,337.15
82.461,225.95
66.006,188.65
136.23800000000003,444.15
150.22100000000012,504.15
204.3570000000002,535.65
93.51299999999998,498.15
92.52499999999998,389.15
154.59600000000003,520.15
60.483,243.15
127.57399999999996,503.15
142.58500000000006,474.95
142.58500000000006,470.65
151.59600000000006,524.15
151.59600000000006,538.15
144.55700000000004,536.15
142.58500000000006,508.15
144.62600000000003,479.15
156.56800000000004,556.15
137.56900000000002,496.15
153.56800000000004,474.65
175.01400000000004,498.15
202.68400000000008,572.15
188.65700000000007,546.15
188.65700000000007,566.15
88.53699999999998,361.15
88.53699999999998,332.15
103.55199999999998,448.15
106.55199999999998,402.15
90.55299999999995,331.15
90.55299999999995,347.15
90.55299999999995,358.15
90.55299999999995,336.15
88.53699999999998,341.65
161.03100000000006,490.15
161.03100000000006,496.15
189.04100000000005,543.15
116.59099999999997,413.15
176.7310000000002,498.15
152.62100000000012,430.15
100.495,264.03
98.479,254.35
124.56699999999996,400.65
155.62800000000007,505.15
140.61300000000008,458.15
168.66700000000012,500.15
106.59599999999996,357.15
202.55300000000005,588.15
64.51500000000001,285.45
62.49900000000001,259.44
156.61200000000005,491.65
124.56699999999996,467.15
164.58800000000005,471.15
140.61300000000008,450.15
140.61300000000008,457.55
108.56799999999996,371.15
106.55199999999996,381.15
130.549,410.75
130.549,403.15
82.50499999999998,326.17
144.57600000000005,427.15
216.483,298.15
134.65,429.15
120.62299999999992,408.15
120.62299999999992,394.15
238.455,503.15
218.4650000000001,389.15
204.43800000000005,436.15
154.64000000000007,464.15
50.48800000000001,249.17
94.54099999999995,356.15
108.56799999999996,382.15
141.60100000000006,513.15
141.60100000000006,488.15
141.60100000000006,506.15
141.60100000000006,512.15
106.59599999999996,372.15
106.59599999999996,365.15
102.56399999999996,349.15
154.6400000000001,506.15
144.57600000000005,445.15
184.6660000000001,531.65
140.61300000000008,475.15
140.61300000000008,474.15
106.55199999999998,395.15
171.58300000000003,511.15
171.58300000000003,534.15
171.58300000000003,515.15
120.62299999999992,399.15
142.58500000000006,471.15
142.58500000000006,501.15
142.58500000000006,505.15
92.56899999999996,342.15
90.55299999999995,341.15
110.60899999999997,413.15
162.61900000000006,532.15
207.05600000000007,541.15
157.55600000000004,509.65
109.512,397.65
123.53899999999996,415.15
225.553,505.15
288.9469999999994,610.15
148.67700000000016,445.15
202.509,391.11
106.59599999999996,381.05
136.57800000000006,507.15
128.55799999999996,446.55
128.55799999999996,492.15
169.61100000000005,606.15
154.59600000000003,517.15
216.6670000000001,605.15
78.54199999999997,319.35
110.53999999999996,494.15
108.524,458.15
94.54099999999995,422.15
126.96999999999998,417.15
76.52599999999998,310.15
76.52599999999998,317.95
154.64000000000007,489.15
74.50999999999999,329.15
113.54699999999998,424.15
163.60700000000003,539.15
163.60700000000006,535.15
138.5970000000001,461.75
232.83900000000023,569.15
136.47500000000002,261.19
118.58799999999998,399.15
126.58599999999996,435.25
229.92100000000005,536.15
118.485,289.5
118.485,279.19
104.458,191.67
180.556,399.15
132.51200000000006,318.25
185.479,429.15
183.68200000000013,504.15
228.29400000000007,721.15
148.16100000000006,573.15
204.3570000000002,521.65
108.13999999999994,464.15
108.13999999999994,475.05
51.048,334.15
105.922,334.65
45.016000000000005,227.15
71.12299999999996,356.15
100.11699999999996,465.15
70.09099999999998,371.95
140.27000000000007,475.45
184.3230000000002,559.15
250.42600000000024,616.15
98.18899999999992,391.95
